Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
1, 0, -2.142628, 9.006021, 720.4817, -1.524764e-07, -1.568463e-07, -7.904958e-07, 8.698529e-07
2, 0, -7.495067, 8.970201, 717.616, -1.531812e-05, -9.95823e-06, -8.290393e-05, 0.0003435518
3, 0, -12.21034, 9.053573, 724.2859, -3.249971e-05, 7.212701e-06, 3.828814e-05, 0.0001957285
4, 0, -16.93664, 9.238299, 739.0639, -5.688207e-05, 4.079929e-06, -0.0001686638, 0.0006670708
5, 0, -21.29145, 9.299007, 743.9206, -7.546121e-05, -5.219616e-05, -0.0002984432, 0.001325339
6, 0, -24.65098, 9.013532, 721.0826, -9.308022e-05, -0.0001199326, -0.0003503155, 0.001462151
7, 0, -18.96615, 6.013651, 481.0921, -8.45147e-06, -0.0005820913, -0.0002033115, 0.001893786
8, 0, -6.451014, 1.786167, 142.8933, -0.000149266, -4.240215e-05, -0.0006165319, 8.748401e-05
9, 0, 5.0836, -1.72359, 137.8872, 0.000240652, 0.00125001, 0.0008463006, -0.003569875
10, 0, 17.85143, -5.277583, 422.2067, 0.00361956, 0.0007878525, 0.009182737, 0.000141394
11, 0, 31.69428, -8.888861, 711.1089, 0.003775118, 0.001085339, 0.008442064, -0.001450308
12, 0, 20.40909, -6.00413, 480.3304, 0.004205616, 0.001538962, 0.009765393, -0.00222322
13, 0, 23.05921, -6.701976, 536.158, 0.0001369914, 0.0007610991, -0.001055265, -0.002123505
14, 0, 22.94732, -6.663681, 533.0945, 0.0008796099, 0.0001598848, 0.002390185, 3.288173e-05
15, 0, 23.77572, -6.872431, 549.7945, 0.0002263985, 0.0005263365, 0.0003644095, -0.001482299
16, 0, 24.09928, -6.949503, 555.9602, 0.0003339382, 0.000474154, 0.00105673, -0.001027408
17, 0, 24.48788, -7.044894, 563.5915, 0.0001999839, 0.000305342, 0.0006639354, -0.0007716402
18, 0, 24.7244, -7.101643, 568.1315, 0.0001688105, 0.0002782734, 0.0006813163, -0.0006984725
19, 0, 24.92383, -7.149861, 571.9889, 0.0001307165, 0.0002215265, 0.0005678971, -0.000617073
20, 0, 25.04953, -7.179846, 574.3877, 0.0001235523, 0.0001899184, 0.0005424955, -0.0005395885
21, 0, 25.13837, -7.20108, 576.0864, 0.0001095033, 0.000156927, 0.0004691597, -0.0004712038
22, 0, 25.20183, -7.216118, 577.2895, 0.0001233134, 0.0001477579, 0.0004617827, -0.0004322161
23, 0, 25.2505, -7.227636, 578.2108, 0.0001207668, 0.0001380001, 0.0004545616, -0.0004213336
24, 0, 25.26555, -7.231074, 578.4859, 0.0001006877, 9.225464e-05, 0.0003667991, -0.0002971236
25, 0, 25.26567, -7.230996, 578.4797, 7.973965e-05, 6.663676e-05, 0.0002924571, -0.0002414551
