# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: naca2412
# Creation date: 11/12/2025 08:20:10
# 
# 11/12/2025 08:20:10
# The parameters defined in the project are:
# ,P1 - AoA [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1
DP 0,0
# 
# A non parametric change occurred and invalidated design point results.
# 11/12/2025 11:25:57
# 
# 
# 11/12/2025 11:30:10
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - AoA [degree],P2 - lift_coefficient-op
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 1,1,0.32423066
DP 2,2,0.4359816
DP 3,3,0.51391158
DP 4,4,0.53972482
DP 5,5,0.67039323
DP 6,6,0.73519147
DP 7,7,0.84991221
DP 8,8,1.0157899
DP 9,9,0.88879145
DP 10,10,0.97704209
DP 11,11,0.66417017
DP 12,12,1.1085371
DP 13,13,1.3465412
DP 14,14,1.2262303
DP 15,15,0.73726508
DP 16,16,0.88950176
DP 17,18,0.80634607
DP 18,25,0.84918856
