X,Y
-0.399442611,0
-0.357664574,0.003275812
0.0758,0.038299
0.188,0.047342
0.3496,0.061965
0.5605,0.081718
0.8204,0.106265
1.1293,0.135454
1.4868,0.169093
1.8926,0.207031
2.3463,0.249052
2.8476,0.294965
3.3958,0.344554
3.9906,0.39751
4.6314,0.453659
5.3175,0.512713
6.0483,0.574359
6.8231,0.638347
7.6411,0.704296
8.5015,0.771952
9.4035,0.840966
10.3462,0.910934
11.3287,0.981589
12.35,1.052564
13.409,1.123411
14.5047,1.193885
15.6361,1.263532
16.8019,1.33202
18.001,1.399031
19.2323,1.464152
20.4943,1.527051
21.7859,1.587395
23.1058,1.644835
24.4526,1.69898
25.8249,1.749553
27.2213,1.796295
28.6405,1.838864
30.081,1.876987
31.5413,1.910365
33.0199,1.938838
34.5153,1.9621
36.0261,1.979994
37.5506,1.992313
39.0873,1.998852
40.6326,1.999827
42.184,1.997441
43.7431,1.992405
45.3082,1.984666
46.8779,1.974121
48.4505,1.960824
50.0245,1.944821
51.5983,1.926058
53.1705,1.904542
54.7393,1.880365
56.3032,1.853483
57.8608,1.824046
59.4104,1.792095
60.9506,1.757643
62.4797,1.720881
63.9964,1.681815
65.499,1.640594
66.9862,1.597316
68.4564,1.552087
69.9082,1.505101
71.3402,1.456416
72.7509,1.406228
74.139,1.354687
75.5031,1.301948
76.8419,1.248162
78.1541,1.19352
79.4383,1.138132
80.6933,1.082251
81.9179,1.026066
83.1109,0.969634
84.2712,0.913257
85.3975,0.857085
86.4888,0.801316
87.5441,0.746144
88.5622,0.691685
89.5423,0.638222
90.4833,0.585814
91.3844,0.53471
92.2446,0.485109
93.0632,0.43711
93.8393,0.39091
94.5722,0.346668
95.2611,0.304522
95.9055,0.264632
96.5047,0.227089
97.0581,0.192101
97.5652,0.159759
98.0254,0.130117
98.4385,0.103279
98.8038,0.079435
99.1212,0.058547
99.3902,0.040803
99.6107,0.02616
99.7824,0.014762
99.9052,0.006519
99.9789,0.001621
100,0
