X,Y
0,0.447918
0.1045,0.47268
0.2569,0.508984
0.457,0.558088
0.7042,0.619774
0.9981,0.693906
1.3382,0.779999
1.724,0.877176
2.1549,0.985489
2.6301,1.10441
3.1491,1.233347
3.7112,1.371684
4.3155,1.518631
4.9614,1.673573
5.648,1.83568
6.3744,2.004213
7.1399,2.17847
7.9436,2.357571
8.7845,2.540748
9.6617,2.727146
10.5744,2.915992
11.5216,3.106432
12.5023,3.297112
13.5157,3.487225
14.5607,3.676358
15.6363,3.863614
16.7418,4.048231
17.8759,4.229345
19.0379,4.406159
20.2266,4.577783
21.4413,4.743451
22.6808,4.902311
23.9442,5.053626
25.2305,5.196041
26.5388,5.32865
27.8679,5.451378
29.2171,5.563495
30.5851,5.664277
31.9711,5.753081
33.3739,5.829233
34.7925,5.892151
36.2259,5.94119
37.6729,5.975854
39.1325,5.995549
40.6188,5.999713
42.1368,5.993979
43.6631,5.980604
45.1964,5.959553
46.7352,5.930737
48.2781,5.894012
49.8236,5.849376
51.3704,5.79687
52.917,5.736368
54.4619,5.668018
56.0036,5.591881
57.5407,5.508057
59.0717,5.416699
60.5951,5.317962
62.1095,5.212064
63.6132,5.099271
65.105,4.979781
66.5832,4.85396
68.0464,4.722169
69.4932,4.584613
70.922,4.441853
72.3315,4.294154
73.7202,4.141996
75.0867,3.98584
76.4296,3.826116
77.7475,3.663415
79.039,3.498104
80.3028,3.330811
81.5376,3.162024
82.742,2.992314
83.9148,2.822254
85.0548,2.652374
86.1606,2.483216
87.2312,2.315456
88.2654,2.149619
89.2621,1.986245
90.2201,1.825892
91.1384,1.669159
92.0161,1.516637
92.8521,1.368784
93.6455,1.226241
94.3954,1.089409
95.1011,0.95887
95.7616,0.83505
96.3763,0.718463
96.9444,0.609505
97.4654,0.508541
97.9385,0.416035
98.3633,0.332277
98.7394,0.25758
99.0661,0.192267
99.3432,0.13663
99.5704,0.09076
99.7474,0.054893
99.874,0.029189
99.9499,0.013734
99.9753,0.008542
