# Export File Created with QBlade CE v2.0.9.4_beta windows on 12.11.2025 at 19:21:17
blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00
Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-]
4.6350606e-02;6.5270942e-01;4.6350606e-02;6.6867918e-01;4.6350606e-02;6.8385059e-01;4.6350606e-02;7.0265406e-01;4.6350606e-02;7.2638488e-01;4.6350606e-02;7.5092936e-01;4.6350606e-02;7.7159214e-01;4.6350606e-02;7.8796941e-01;4.6350606e-02;7.9184937e-01;4.6350606e-02;8.1215596e-01;4.6350606e-02;8.2312316e-01;4.6350606e-02;8.3132225e-01;4.6350606e-02;8.3947599e-01;4.6350606e-02;8.4842438e-01;4.6350606e-02;8.5687083e-01;4.6350606e-02;8.6543262e-01;4.6350606e-02;8.7440878e-01;4.6350606e-02;8.8471729e-01;4.6350606e-02;8.9122087e-01;4.6350606e-02;8.9482492e-01
4.9920700e-02;5.9691280e-01;4.9920700e-02;6.1600918e-01;4.9920700e-02;6.3375163e-01;4.9920700e-02;6.5497679e-01;4.9920700e-02;6.8230265e-01;4.9920700e-02;7.1225727e-01;4.9920700e-02;7.3845953e-01;4.9920700e-02;7.5906914e-01;4.9920700e-02;7.7557021e-01;4.9920700e-02;7.8622037e-01;4.9920700e-02;8.0165839e-01;4.9920700e-02;8.1273156e-01;4.9920700e-02;8.2076162e-01;4.9920700e-02;8.3132923e-01;4.9920700e-02;8.4129202e-01;4.9920700e-02;8.5124230e-01;4.9920700e-02;8.6155963e-01;4.9920700e-02;8.7427962e-01;4.9920700e-02;8.8222462e-01;4.9920700e-02;8.8646758e-01
5.7004590e-02;5.2351296e-01;5.7004590e-02;5.4830807e-01;5.7004590e-02;5.7121879e-01;5.7004590e-02;5.9828544e-01;5.7004590e-02;6.3319623e-01;5.7004590e-02;6.7170119e-01;5.7004590e-02;7.0505923e-01;5.7004590e-02;7.3080790e-01;5.7004590e-02;7.4193382e-01;5.7004590e-02;7.6728535e-01;5.7004590e-02;7.8368229e-01;5.7004590e-02;7.9490894e-01;5.7004590e-02;8.0787307e-01;5.7004590e-02;8.2095730e-01;5.7004590e-02;8.3356059e-01;5.7004590e-02;8.4660339e-01;5.7004590e-02;8.6248553e-01;5.7004590e-02;8.7289810e-01;5.7004590e-02;8.7812012e-01;5.7004590e-02;8.8367677e-01
6.7490555e-02;4.3456486e-01;6.7490555e-02;4.7025809e-01;6.7490555e-02;5.0265235e-01;6.7490555e-02;5.4074550e-01;6.7490555e-02;5.8899754e-01;6.7490555e-02;6.3932377e-01;6.7490555e-02;6.7992431e-01;6.7490555e-02;7.1057558e-01;6.7490555e-02;7.2510934e-01;6.7490555e-02;7.5559080e-01;6.7490555e-02;7.7291977e-01;6.7490555e-02;7.8817183e-01;6.7490555e-02;8.0505043e-01;6.7490555e-02;8.2120216e-01;6.7490555e-02;8.3808017e-01;6.7490555e-02;8.5633087e-01;6.7490555e-02;8.6547607e-01;6.7490555e-02;8.7108046e-01;6.7490555e-02;8.8268173e-01;6.7490555e-02;8.9573741e-01
8.1213221e-02;3.3470935e-01;8.1213221e-02;3.7877357e-01;8.1213221e-02;4.2935929e-01;8.1213221e-02;4.8742589e-01;8.1213221e-02;5.5603486e-01;8.1213221e-02;6.1883688e-01;8.1213221e-02;6.6496068e-01;8.1213221e-02;6.8838960e-01;8.1213221e-02;7.2691798e-01;8.1213221e-02;7.5051874e-01;8.1213221e-02;7.6988703e-01;8.1213221e-02;7.9083812e-01;8.1213221e-02;8.1098104e-01;8.1213221e-02;8.3374017e-01;8.1213221e-02;8.4998840e-01;8.1213221e-02;8.5739475e-01;8.1213221e-02;8.6843735e-01;8.1213221e-02;8.8413638e-01;8.1213221e-02;8.9841402e-01;8.1213221e-02;9.1213208e-01
9.7956181e-02;2.6486802e-01;9.7956181e-02;3.0444109e-01;9.7956181e-02;3.5708240e-01;9.7956181e-02;4.4360587e-01;9.7956181e-02;5.3774899e-01;9.7956181e-02;6.0926688e-01;9.7956181e-02;6.5742522e-01;9.7956181e-02;6.9585913e-01;9.7956181e-02;7.2666484e-01;9.7956181e-02;7.5033462e-01;9.7956181e-02;7.7576762e-01;9.7956181e-02;8.0018944e-01;9.7956181e-02;8.2712615e-01;9.7956181e-02;8.4063518e-01;9.7956181e-02;8.4991765e-01;9.7956181e-02;8.6820501e-01;9.7956181e-02;8.8544798e-01;9.7956181e-02;9.0196657e-01;9.7956181e-02;9.1749752e-01;9.7956181e-02;9.3227005e-01
1.1745539e-01;2.1711527e-01;1.1745539e-01;2.5450405e-01;1.1745539e-01;3.0965313e-01;1.1745539e-01;4.1541189e-01;1.1745539e-01;5.3243339e-01;1.1745539e-01;6.0704082e-01;1.1745539e-01;6.5407825e-01;1.1745539e-01;6.9779646e-01;1.1745539e-01;7.2729576e-01;1.1745539e-01;7.5792527e-01;1.1745539e-01;7.8709722e-01;1.1745539e-01;8.1720698e-01;1.1745539e-01;8.2992196e-01;1.1745539e-01;8.4529889e-01;1.1745539e-01;8.6692774e-01;1.1745539e-01;8.8663250e-01;1.1745539e-01;9.0529418e-01;1.1745539e-01;9.2275262e-01;1.1745539e-01;9.3927789e-01;1.1745539e-01;9.5569295e-01
1.3940333e-01;1.8423773e-01;1.3940333e-01;2.2113867e-01;1.3940333e-01;2.8210118e-01;1.3940333e-01;4.0678421e-01;1.3940333e-01;5.3474569e-01;1.3940333e-01;5.8610731e-01;1.3940333e-01;6.6175663e-01;1.3940333e-01;6.9857007e-01;1.3940333e-01;7.3564571e-01;1.3940333e-01;7.6994449e-01;1.3940333e-01;8.0445635e-01;1.3940333e-01;8.1798172e-01;1.3940333e-01;8.3908838e-01;1.3940333e-01;8.6318690e-01;1.3940333e-01;8.8590050e-01;1.3940333e-01;9.0690082e-01;1.3940333e-01;9.2678297e-01;1.3940333e-01;9.4582719e-01;1.3940333e-01;9.6485955e-01;1.3940333e-01;9.8312193e-01
1.6345386e-01;1.6166209e-01;1.6345386e-01;1.9963647e-01;1.6345386e-01;2.6948050e-01;1.6345386e-01;4.1381672e-01;1.6345386e-01;5.4036462e-01;1.6345386e-01;6.1345160e-01;1.6345386e-01;6.6130024e-01;1.6345386e-01;7.0724994e-01;1.6345386e-01;7.4720609e-01;1.6345386e-01;7.8775632e-01;1.6345386e-01;8.0454582e-01;1.6345386e-01;8.2941782e-01;1.6345386e-01;8.5698777e-01;1.6345386e-01;8.8277155e-01;1.6345386e-01;9.0650189e-01;1.6345386e-01;9.2882288e-01;1.6345386e-01;9.5082021e-01;1.6345386e-01;9.7228950e-01;1.6345386e-01;9.9290770e-01;1.6345386e-01;1.0122713e+00
1.8922770e-01;1.4642233e-01;1.8922770e-01;1.8700093e-01;1.8922770e-01;2.6843709e-01;1.8922770e-01;4.2752510e-01;1.8922770e-01;5.3546339e-01;1.8922770e-01;6.2014121e-01;1.8922770e-01;6.7016059e-01;1.8922770e-01;7.1746308e-01;1.8922770e-01;7.6594210e-01;1.8922770e-01;7.8921092e-01;1.8922770e-01;8.1530321e-01;1.8922770e-01;8.4682304e-01;1.8922770e-01;8.7611723e-01;1.8922770e-01;9.0295303e-01;1.8922770e-01;9.2815363e-01;1.8922770e-01;9.5309198e-01;1.8922770e-01;9.7717714e-01;1.8922770e-01;1.0003107e+00;1.8922770e-01;1.0217028e+00;1.8922770e-01;1.0425047e+00
