Velocity (m/s),Thrust (N),Torque (Nm),Power (W),Efficiency,CT,CP,J,Thrust_per_unit_Area
0.0,627.2623415810222,36.71602889654727,19224.467775063913,0.0,0.18001789139761476,0.08275839125107232,0.0,1247.8987784752073
1.0,633.5602521334802,37.41852445888009,19592.293591364614,0.032337217139943454,0.18182532746177682,0.08434182509037699,0.015,1260.4280734198862
2.0,618.6294512311324,36.90643108109997,19324.162125766943,0.06402652256847385,0.17754033995791427,0.08318756017150947,0.03,1230.7241888207664
3.0,603.5513722404866,36.38173022553034,19049.42940023531,0.09505030721282882,0.17321308514554778,0.08200487783902316,0.045,1200.7273037746247
4.0,588.2974518505226,35.84138779189498,18766.50676358003,0.12539306526502322,0.168835365645877,0.0807869391927074,0.06,1170.380593379712
5.0,572.896218416118,35.2883288480754,18476.925777762408,0.1550301779924931,0.1644153688056461,0.07954033737238281,0.075,1139.7408129947412
6.0,557.3313820475843,34.72235563998845,18180.58289898664,0.18393185250797955,0.1599484195927378,0.07826462663785701,0.09,1108.775554913883
7.0,541.5629686509761,34.136094795272726,17873.61743851226,0.21209700798387335,0.1554230458500888,0.07694318731502407,0.105,1077.40529320405
8.0,525.5889530104806,33.52899691575514,17555.74173212853,0.23950635001589585,0.15083866636142618,0.07557478105348696,0.12,1045.6259988263987
9.0,509.4052169440103,32.900515765682826,17226.669771464054,0.266136578533046,0.14619409925051316,0.07415817663098365,0.13499999999999998,1013.4294789179819
10.0,492.9902899151721,32.25026793244769,16886.200802146694,0.29194861277055273,0.141483182692492,0.07269250983066976,0.15,980.7730192038275
11.0,476.4023171167358,31.585996045247885,16538.388855344503,0.3168643290540729,0.13672260376436932,0.07119523263620879,0.16499999999999998,947.7722958695144
12.0,459.6826165638427,30.91356053920884,16186.302447713637,0.3407937925653484,0.13192422031487833,0.06967955454213459,0.18,914.5095084943991
13.0,442.6634381774538,30.204708956672125,15815.148627016495,0.3638678859126537,0.1270398897830703,0.06808179415329166,0.19499999999999998,880.6509288999424
14.0,425.42411481167204,29.471651929165706,15431.320864970407,0.3859642126218487,0.12209237988855383,0.0664294743868305,0.21,846.354384784645
15.0,407.9833301353207,28.718746861834255,15037.100693573904,0.40697672222445663,0.11708705265363158,0.06473241688879072,0.22499999999999998,811.6570461266115
16.0,390.30605209661985,27.943346486849926,14631.102006633648,0.42682340883923314,0.11201385423691257,0.06298465468416907,0.24,776.4892188732483
17.0,372.3890729648317,27.14202665278483,14211.53192265453,0.44545614609713813,0.10687186405240705,0.06117846969254979,0.255,740.8445214470181
18.0,354.2505396885337,26.316462864374234,13779.26773386445,0.46276114504419236,0.10166629008918376,0.05931763852269453,0.26999999999999996,704.7590560550224
19.0,335.86502177444993,25.463309102949857,13332.557468985562,0.4786355077455439,0.09638983405516738,0.057394619206411056,0.285,668.1822303383846
20.0,317.2432997258162,24.582125250285227,12871.17068265337,0.4929517408286237,0.09104558984478142,0.05540841971167745,0.3,631.1354914268421
