# Export File Created with QBlade CE v2.0.9.4_beta windows on 12.11.2025 at 19:24:22
blade_3 Simulation;blade_3 Simulation (2);[TSR_0.000]
Rotational Speed [rpm];Thrust [N];Rotational Speed [rpm];Thrust [N];Rotational Speed [rpm];Thrust [N]
9.5492966e+01;3.1871543e+00;9.5492966e+01;3.1871543e+00;9.5492966e+01;3.1871543e+00
1.9098593e+02;5.6434798e+00;1.9098593e+02;5.6434798e+00;END;END
2.8647888e+02;8.6010971e+00;2.8647888e+02;8.6010971e+00;END;END
3.8197186e+02;1.1126715e+01;3.8197186e+02;1.1126715e+01;END;END
4.7746481e+02;1.3107831e+01;4.7746481e+02;1.3107831e+01;END;END
5.7295776e+02;1.4671237e+01;5.7295776e+02;1.4671237e+01;END;END
6.6845074e+02;1.6036579e+01;6.6845074e+02;1.6036579e+01;END;END
7.6394373e+02;1.7326138e+01;7.6394373e+02;1.7326138e+01;END;END
8.5943671e+02;1.8550116e+01;8.5943671e+02;1.8550116e+01;END;END
9.5492963e+02;1.9753410e+01;9.5492963e+02;1.9753410e+01;END;END
1.0504226e+03;2.0934658e+01;1.0504226e+03;2.0934658e+01;END;END
1.1459155e+03;2.2106562e+01;1.1459155e+03;2.2106562e+01;END;END
1.2414086e+03;2.3280083e+01;1.2414086e+03;2.3280083e+01;END;END
1.3369015e+03;2.4462217e+01;1.3369015e+03;2.4462217e+01;END;END
1.4323945e+03;2.5659954e+01;1.4323945e+03;2.5659954e+01;END;END
1.5278875e+03;2.6878757e+01;1.5278875e+03;2.6878757e+01;END;END
1.6233804e+03;2.8117939e+01;1.6233804e+03;2.8117939e+01;END;END
1.7188734e+03;2.9377684e+01;1.7188734e+03;2.9377684e+01;END;END
1.8143663e+03;3.0657911e+01;1.8143663e+03;3.0657911e+01;END;END
1.9098593e+03;3.1959642e+01;1.9098593e+03;3.1959642e+01;END;END
