Angle of Attack [deg];Drag Coefficient Cd [-]
-1.8000000e+02;6.0000238e-03
-1.7900000e+02;6.5214420e-03
-1.7800000e+02;8.0844415e-03
-1.7700000e+02;1.0686187e-02
-1.7600000e+02;1.4322584e-02
-1.7500000e+02;1.8988281e-02
-1.7400000e+02;2.4676681e-02
-1.7300000e+02;3.1379946e-02
-1.7200000e+02;3.9089009e-02
-1.7100000e+02;4.7793604e-02
-1.7000000e+02;5.7482246e-02
-1.6900000e+02;6.8142280e-02
-1.6800000e+02;7.9759881e-02
-1.6700000e+02;9.2320062e-02
-1.6600000e+02;1.0580673e-01
-1.6500000e+02;1.2020266e-01
-1.6400000e+02;1.3548957e-01
-1.6300000e+02;1.5164807e-01
-1.6200000e+02;1.6865778e-01
-1.6100000e+02;1.8649730e-01
-1.6000000e+02;2.0514421e-01
-1.5900000e+02;2.2457516e-01
-1.5800000e+02;2.4476589e-01
-1.5700000e+02;2.6569122e-01
-1.5600000e+02;2.8732508e-01
-1.5500000e+02;3.0964065e-01
-1.5400000e+02;3.3261022e-01
-1.5300000e+02;3.5620537e-01
-1.5200000e+02;3.8039690e-01
-1.5100000e+02;4.0515500e-01
-1.5000000e+02;4.3044916e-01
-1.4900000e+02;4.5624819e-01
-1.4800000e+02;4.8252040e-01
-1.4700000e+02;5.0923353e-01
-1.4600000e+02;5.3635478e-01
-1.4500000e+02;5.6385100e-01
-1.4400000e+02;5.9168845e-01
-1.4300000e+02;6.1983317e-01
-1.4200000e+02;6.4825070e-01
-1.4100000e+02;6.7690647e-01
-1.4000000e+02;7.0576543e-01
-1.3900000e+02;7.3479253e-01
-1.3800000e+02;7.6395237e-01
-1.3700000e+02;7.9320955e-01
-1.3600000e+02;8.2252848e-01
-1.3500000e+02;8.5187352e-01
-1.3400000e+02;8.8120914e-01
-1.3300000e+02;9.1049981e-01
-1.3200000e+02;9.3970990e-01
-1.3100000e+02;9.6880424e-01
-1.3000000e+02;9.9774742e-01
-1.2900000e+02;1.0265046e+00
-1.2800000e+02;1.0550411e+00
-1.2700000e+02;1.0833222e+00
-1.2600000e+02;1.1113139e+00
-1.2500000e+02;1.1389825e+00
-1.2400000e+02;1.1662946e+00
-1.2300000e+02;1.1932173e+00
-1.2200000e+02;1.2197181e+00
-1.2100000e+02;1.2457652e+00
