Velocity (m/s),Thrust (N),Torque (Nm),Power (W),Efficiency,CT,CP,J,Thrust_per_unit_Area
0.0,844.2747944937596,59.05004708046307,30918.532350352365,0.0,0.24229825097078558,0.13309954933984594,0.0,1679.631335894699
5.0,802.3866285475457,58.330661128649965,30541.862746800405,0.13135849558350932,0.23027677477448694,0.1314780443500655,0.075,1596.2974775522798
10.0,714.6823061445205,54.260910792362594,28410.946453729575,0.2515517416177814,0.20510652918688405,0.12230477586905268,0.15,1421.8152720401959
15.0,623.240688227946,49.71127622367129,26028.763364143113,0.3591645977425771,0.178863717922561,0.11204984228824362,0.22499999999999998,1239.897953343405
20.0,527.4146134668714,44.5721175243063,23337.906161550258,0.4519810901766322,0.151362612283222,0.10046611389697974,0.3,1049.2580349019236
25.0,427.1957272873002,38.82121970848637,20326.74310659601,0.5254109389869195,0.12260081459138078,0.08750351783770603,0.375,849.8788958188887
30.0,322.111691617681,32.3426826760615,16934.589048750113,0.5706280040638867,0.09244276864027834,0.07290081382593319,0.44999999999999996,640.820849358077
35.0,211.29701735167842,24.963966060404367,13071.102063305216,0.5657821024953968,0.06064008788791791,0.05626909370364171,0.5249999999999999,420.36205965117
40.0,94.57193222745336,16.589180286143236,8686.074486004036,0.4355105744480461,0.027141179529562506,0.03739222116105053,0.6,188.14488114688652
45.0,-28.058006514119363,7.114736648436743,3725.267397825823,-0.33893145331587965,-0.008052361563363336,0.016036705953650702,0.6749999999999999,-55.819630375333695
50.0,-154.52195493832286,-2.759272832994148,-1444.7518768973853,0.0,-0.04434622431265643,-0.006219435694551881,0.75,-307.4116618082149
55.0,-289.68247066751337,-14.543982040558813,-7615.211188760242,0.0,-0.08313591313799809,-0.03278231857406354,0.825,-576.3049641725966
60.0,-430.9164746041645,-27.62849158322366,-14466.244364603814,0.0,-0.12366863110451147,-0.062274967768543195,0.8999999999999999,-857.2810874123245
65.0,-540.4249410139769,-33.479498788171995,-17529.824573131587,0.0,-0.1550964435307969,-0.07546321165091723,0.975,-1075.1412591565047
70.0,-691.2165854656237,-48.4163365096766,-25350.734515421882,0.0,-0.19837210679817005,-0.10913103187442455,1.0499999999999998,-1375.1317040494441
75.0,-847.2932090284173,-64.92691389603397,-33995.65261933956,0.0,-0.24316450514208404,-0.14634608111003955,1.125,-1685.6362808133392
80.0,-1009.7817672676505,-83.03538616029702,-43477.22652486345,0.0,-0.2897970633102313,-0.1871628055120078,1.2,-2008.896996308955
